,name,album,release_date,track_number,valence,popularity,energy,,,
221,epiphany,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,13,0.103,50,0.254,,,
222,betty,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,14,0.476,52,0.376,,,
223,peace,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,15,0.328,50,0.284,,,
224,hoax,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,16,0.404,50,0.178,,,
225,the lakes - bonus track,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,17,0.268,51,0.258,,,
226,the 1 - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,1,0.156,60,0.25,,,
227,cardigan - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,2,0.247,62,0.234,,,
228,the last great american dynasty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,3,0.614,58,0.618,,,
229,exile (feat. Bon Iver) - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,4,0.108,60,0.305,,,
230,my tears ricochet - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,5,0.168,62,0.172,,,
231,mirrorball - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,6,0.109,60,0.386,,,
232,seven - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,7,0.363,58,0.449,,,
233,august - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,8,0.545,61,0.663,,,
234,this is me trying - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,9,0.157,62,0.332,,,
235,illicit affairs - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,10,0.435,60,0.235,,,
236,invisible string - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,11,0.351,58,0.282,,,
237,mad woman - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,12,0.346,57,0.465,,,
238,epiphany - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,13,0.113,56,0.2,,,
239,betty - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,14,0.518,59,0.316,,,
240,peace - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,15,0.513,57,0.344,,,
241,hoax - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,16,0.483,58,0.155,,,
242,the lakes - the long pond studio sessions,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],25/11/2020,17,0.112,59,0.221,,,
243,the 1,folklore (deluxe version),18/8/2020,1,0.163,75,0.361,,,
244,cardigan,folklore (deluxe version),18/8/2020,2,0.534,76,0.58,,,
245,the last great american dynasty,folklore (deluxe version),18/8/2020,3,0.701,74,0.653,,,
246,exile (feat. Bon Iver),folklore (deluxe version),18/8/2020,4,0.16,75,0.374,,,
247,my tears ricochet,folklore (deluxe version),18/8/2020,5,0.112,75,0.265,,,
248,mirrorball,folklore (deluxe version),18/8/2020,6,0.347,73,0.417,,,
249,seven,folklore (deluxe version),18/8/2020,7,0.374,73,0.494,,,
250,august,folklore (deluxe version),18/8/2020,8,0.42,75,0.634,,,
251,this is me trying,folklore (deluxe version),18/8/2020,9,0.408,73,0.478,,,
252,illicit affairs,folklore (deluxe version),18/8/2020,10,0.44,74,0.304,,,
253,invisible string,folklore (deluxe version),18/8/2020,11,0.454,73,0.459,,,
254,mad woman,folklore (deluxe version),18/8/2020,12,0.451,71,0.7,,,
